"projectID","projectAcronym","name","country","city","role","activityType","SME","ecContribution","netEcContribution","totalCost","geolocation"
814426,"NanoInformaTIX","INSTITUTE OF OCCUPATIONAL MEDICINE","UK","EDINBURGH","participant","REC","TRUE","223360","223360","223360","55.9495628,-3.1914971"
814426,"NanoInformaTIX","AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS","ES","Madrid","coordinator","REC","false","380000","380000","380000","40.4409945,-3.6878876"
814426,"NanoInformaTIX","UNIWERSYTET GDANSKI","PL","GDANSK","participant","HES","false","219450","219450","219450","54.3998329,18.5680212"
814426,"NanoInformaTIX","UNIVERSIDADE DE AVEIRO","PT","Aveiro","participant","HES","false","222750","222750","222750","40.640496,-8.653784"
814426,"NanoInformaTIX","CONSIGLIO NAZIONALE DELLE RICERCHE","IT","Roma","participant","REC","false","159363.75","159363.75","159363.75","41.9007644,12.5125083"
814426,"NanoInformaTIX","""NATIONAL CENTER FOR SCIENTIFIC RESEARCH """"DEMOKRITOS""""""","EL","AGIA PARASKEVI","participant","REC","false","148750","148750","148750","37.995,23.816"
814426,"NanoInformaTIX","TEL AVIV UNIVERSITY","IL","Tel Aviv","participant","HES","false","255000","255000","255000","32.1088611,34.7950946"
814426,"NanoInformaTIX","POLITECNICO DI TORINO","IT","Torino","participant","HES","false","234375","234375","234375","45.0626528,7.6618159"
814426,"NanoInformaTIX","GREENDECISION SRL","IT","VENEZIA","participant","PRC","TRUE","101812.5","101812.5","101812.5","45.4371908,12.3345899"
814426,"NanoInformaTIX","EAST EUROPEAN RESEARCH AND INNOVATION ENTERPRISE LTD","BG","Sofia","participant","PRC","TRUE","205625","205625","205625","42.6978634,23.3221789"
814426,"NanoInformaTIX","UNIVERSITE D'AIX MARSEILLE","FR","Marseille","participant","HES","false","100000","100000","100000","43.2920787,5.3592608"
814426,"NanoInformaTIX","DET NATIONALE FORSKNINGSCENTER FOR ARBEJDSMILJØ","DK","Kobenhavn","participant","REC","false","114750","114750","114750","55.714356,12.547462"
814426,"NanoInformaTIX","EIDGENOSSISCHE MATERIALPRUFUNGS- UND FORSCHUNGSANSTALT","CH","Dubendorf","participant","HES","false","233617.5","233617.5","233617.5","47.40052175,8.62408308288973"
814426,"NanoInformaTIX","TYOTERVEYSLAITOS","FI","Helsinki","participant","REC","false","115000","115000","115000","60.1674086,24.9425683"
814426,"NanoInformaTIX","SORBONNE UNIVERSITE","FR","Paris","participant","HES","false","120000","120000","120000","48.8513145,2.3405431"
814426,"NanoInformaTIX","TINEXTA INNOVATION HUB S.P.A.","IT","Correggio Re","participant","PRC","TRUE","233000","233000","233000","44.77186,10.7786684"
669858,"ATLAS","UNIVERSIDADE DO MINHO","PT","Braga","participant","HES","false","60000","60000","60000","41.5509094,-8.3225149"
669858,"ATLAS","UNIVERSIDADE DE AVEIRO","PT","Aveiro","coordinator","HES","false","2438987.5","2438987.5","2438987.5","40.640496,-8.653784"
669768,"VESCEL","UNIVERSITEIT TWENTE","NL","Enschede","coordinator","HES","false","2250000","2250000","2250000","52.2398494,6.8499541"
741707,"New Chol","THE CHANCELLOR MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE","UK","Cambridge","participant","HES","false","1642361.54","1642361.54","1642361.54","52.20533055,0.1169200339484217"
741707,"New Chol","CHARITE - UNIVERSITAETSMEDIZIN BERLIN","DE","Berlin","coordinator","HES","false","856749.46","856749.46","856749.46","52.5234476,13.3782174"
742020,"HEPASPHER","KAROLINSKA INSTITUTET","SE","Stockholm","coordinator","HES","false","2413449","2413449","2413449","59.3481714,18.0250493"
740491,"PainCells","KAROLINSKA INSTITUTET","SE","Stockholm","coordinator","HES","false","2443952.5","2443952.5","2443952.5","59.3481714,18.0250493"
101037090,"ALTERNATIVE","ELVESYS","FR","Paris","participant","PRC","TRUE","381572.19","381572.19","381572.19","48.8558136,2.3930694"
101037090,"ALTERNATIVE","ISTITUTO DI RICERCHE FARMACOLOGICHE MARIO NEGRI","IT","Milano","participant","REC","false","386750","386750","386750","45.4667971,9.1904984"
101037090,"ALTERNATIVE","IVTECH SRL","IT","Massarosa","participant","PRC","TRUE","306750","306750","306750","43.8373447,10.3624746"
101037090,"ALTERNATIVE","MEDIZINISCHE UNIVERSITAT INNSBRUCK","AT","Innsbruck","participant","HES","false","242250","242250","242250","47.2628185,11.384629350658514"
101037090,"ALTERNATIVE","CONSIGLIO NAZIONALE DELLE RICERCHE","IT","Roma","participant","REC","false","569500","569500","569500","41.9007644,12.5125083"
101037090,"ALTERNATIVE","EURESCOM-EUROPEAN INSTITUTE FOR RESEARCH AND STRATEGIC STUDIES IN TELECOMMUNICATIONS GMBH","DE","Heidelberg","participant","PRC","false","468250","468250","468250","49.4093243,8.6591547"
